200125 135038.598|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\mihir\Documents\NetBeansProjects\RRUIL\logs directory.
200125 135038.598|INFO|AWT-EventQueue-0|info|
200125 135038.598|INFO|AWT-EventQueue-0|info|Version 9.6.0 () Java ver 11.0.5 build 5102 Windows 10 10.0 (amd64) 
200125 135038.598|INFO|AWT-EventQueue-0|info|Login: team141 (aka team141)
200125 135038.598|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\mihir\Documents\NetBeansProjects\RRUIL
200125 135038.598|INFO|AWT-EventQueue-0|startLog|Process id is 13356@DESKTOP-QMOU7GI
200125 135038.598|INFO|AWT-EventQueue-0|info|Contacting server at 192.168.1.42:50002 as TEAM141 @ site 0
200125 135038.598|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM141 @ site 0
200125 135038.598|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM141 @ site 0 -> SERVER0 @ site 0
200125 135038.598|INFO|Thread-1|run|send(Serializable)
200125 135038.598|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM141 @ site 0 -> SERVER0 @ site 0
200125 135038.598|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200125 135038.738|INFO|Thread-0|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200125 135038.818|INFO|Thread-2|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #56 SERVER0 @ site 1 -> TEAM141 @ site 1
200125 135038.818|INFO|Thread-2|dumpPacket|Packet LOGIN_SUCCESS (Seq #56, o#56 ) recieveObject
200125 135038.818|INFO|Thread-2|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 135038.818|INFO|Thread-2|dumpPacket|    To: TEAM141 @ site 1
200125 135038.818|INFO|Thread-2|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@a4f2332
200125 135038.818|INFO|Thread-2|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200125 135038.818|INFO|Thread-2|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@488dc0b
200125 135038.818|INFO|Thread-2|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@b74842
200125 135038.818|INFO|Thread-2|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@45b5d630
200125 135038.818|INFO|Thread-2|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@36902b07
200125 135038.818|INFO|Thread-2|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@743ad15a
