200125 135038.850|CONFIG|Thread-2|setFileHandlers|Now logging to C:\Users\mihir\Documents\NetBeansProjects\RRUIL\logs directory.
200125 135038.850|INFO|Thread-2|info|
200125 135038.850|INFO|Thread-2|info|Version 9.6.0 () Java ver 11.0.5 build 5102 Windows 10 10.0 (amd64) 
200125 135038.850|INFO|Thread-2|info|Login: team141 (aka team141)
200125 135038.850|INFO|Thread-2|startLog|Working directory is C:\Users\mihir\Documents\NetBeansProjects\RRUIL
200125 135038.850|INFO|Thread-2|startLog|Process id is 13356@DESKTOP-QMOU7GI
200125 135038.850|INFO|Thread-2|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
200125 135038.856|INFO|Thread-2|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
200125 135039.077|INFO|Thread-2|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200125 135039.077|INFO|Thread-2|info|handlePacket end Packet[LOGIN_SUCCESS] #56 SERVER0 @ site 1 -> TEAM141 @ site 1
200125 135039.077|INFO|Thread-2|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #56 SERVER0 @ site 1 -> TEAM141 @ site 1
200125 140504.623|INFO|Thread-3|info| receiveObject(S) start got Packet[CLOCK_STARTED] #101 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 140504.623|INFO|Thread-3|dumpPacket|Packet CLOCK_STARTED (Seq #101, o#101 ) recieveObject
200125 140504.623|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 140504.623|INFO|Thread-3|dumpPacket|    To: SERVER0 @ site 0
200125 140504.623|INFO|Thread-3|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200125 140504.623|INFO|Thread-3|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200125 140504.623|INFO|Thread-3|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1579982730777,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2020,MONTH=0,WEEK_OF_YEAR=4,WEEK_OF_MONTH=4,DAY_OF_MONTH=25,DAY_OF_YEAR=25,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=4,AM_PM=1,HOUR=8,HOUR_OF_DAY=20,MINUTE=5,SECOND=30,MILLISECOND=777,ZONE_OFFSET=0,DST_OFFSET=0]
200125 140504.623|INFO|Thread-3|info|handlePacket start Packet[CLOCK_STARTED] #101 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 140504.623|INFO|Thread-3|dumpPacket|Packet CLOCK_STARTED (Seq #101, o#101 ) handlePacket
200125 140504.623|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 140504.623|INFO|Thread-3|dumpPacket|    To: SERVER0 @ site 0
200125 140504.623|INFO|Thread-3|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200125 140504.623|INFO|Thread-3|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200125 140504.623|INFO|Thread-3|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1579982730777,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2020,MONTH=0,WEEK_OF_YEAR=4,WEEK_OF_MONTH=4,DAY_OF_MONTH=25,DAY_OF_YEAR=25,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=4,AM_PM=1,HOUR=8,HOUR_OF_DAY=20,MINUTE=5,SECOND=30,MILLISECOND=777,ZONE_OFFSET=0,DST_OFFSET=0]
200125 140504.623|INFO|Thread-3|info|Clock for site 1 started by SERVER0 @ site 1 elapsed 0:00:00
200125 140504.623|INFO|Thread-3|info| receiveObject(S) end   got Packet[CLOCK_STARTED] #101 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141321.915|INFO|Thread-4|info| receiveObject(S) start got Packet[UPDATE_SETTING] #134 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141321.915|INFO|Thread-4|dumpPacket|Packet UPDATE_SETTING (Seq #134, o#2 ) recieveObject
200125 141321.915|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141321.915|INFO|Thread-4|dumpPacket|    To: SERVER0 @ site 0
200125 141321.915|INFO|Thread-4|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Word Score
200125 141321.915|INFO|Thread-4|info|handlePacket start Packet[UPDATE_SETTING] #134 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141321.915|INFO|Thread-4|dumpPacket|Packet UPDATE_SETTING (Seq #134, o#2 ) handlePacket
200125 141321.915|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141321.915|INFO|Thread-4|dumpPacket|    To: SERVER0 @ site 0
200125 141321.915|INFO|Thread-4|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Word Score
200125 141321.915|INFO|Thread-4|info|handlePacket end Packet[UPDATE_SETTING] #134 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141321.915|INFO|Thread-4|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #134 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141336.256|INFO|Thread-5|info| receiveObject(S) start got Packet[UPDATE_SETTING] #136 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141336.256|INFO|Thread-5|dumpPacket|Packet UPDATE_SETTING (Seq #136, o#3 ) recieveObject
200125 141336.256|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141336.256|INFO|Thread-5|dumpPacket|    To: SERVER0 @ site 0
200125 141336.256|INFO|Thread-5|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Point Collection
200125 141336.256|INFO|Thread-5|info|handlePacket start Packet[UPDATE_SETTING] #136 SERVER0 @ site 1 -> SERVER0 @ site 0
